Date,h
2022-01-01,2.795
2022-01-02,2.72
2022-01-03,2.755
2022-01-04,2.745
2022-01-05,2.755
2022-01-06,2.8049999999999997
2022-01-07,2.8
2022-01-08,2.7699999999999996
2022-01-09,2.7199999999999998
2022-01-10,2.7800000000000002
2022-01-11,2.775
2022-01-12,2.81
2022-01-13,2.81
2022-01-14,2.72
2022-01-15,2.7199999999999998
2022-01-16,2.6950000000000003
2022-01-17,2.705
2022-01-18,2.685
2022-01-19,2.685
2022-01-20,2.6799999999999997
2022-01-21,2.68
2022-01-22,2.66
2022-01-23,2.65
2022-01-24,2.685
2022-01-25,2.7199999999999998
2022-01-26,2.7249999999999996
2022-01-27,2.72
2022-01-28,2.71
2022-01-29,2.73
2022-01-30,2.72
2022-01-31,2.775
2022-02-01,2.815
2022-02-02,2.82
2022-02-03,2.84
2022-02-04,2.825
2022-02-05,2.79
2022-02-06,2.745
2022-02-07,2.71
2022-02-08,2.6799999999999997
2022-02-09,2.635
2022-02-10,2.635
2022-02-11,2.605
2022-02-12,2.565
2022-02-13,2.5549999999999997
2022-02-14,2.565
2022-02-15,2.58
2022-02-16,2.585
2022-02-17,2.585
2022-02-18,2.585
2022-02-19,2.5949999999999998
2022-02-20,2.59
2022-02-21,2.58
2022-02-22,2.57
2022-02-23,2.575
2022-02-24,2.59
2022-02-25,2.61
2022-02-26,2.6
2022-02-27,2.6100000000000003
2022-02-28,2.6500000000000004
2022-03-01,2.67
2022-03-02,2.68
2022-03-03,2.7
2022-03-04,2.7025
2022-03-05,2.71
2022-03-06,2.715
2022-03-07,2.715
2022-03-08,2.7300000000000004
2022-03-09,2.75
2022-03-10,2.75
2022-03-11,2.75
2022-03-12,2.74
2022-03-13,2.7350000000000003
2022-03-14,2.75
2022-03-15,2.785
2022-03-16,2.8049999999999997
2022-03-17,2.855
2022-03-18,2.88
2022-03-19,2.9299999999999997
2022-03-20,2.995
2022-03-21,3.005
2022-03-22,3.0149999999999997
2022-03-23,3.02
2022-03-24,3.085
2022-03-25,3.105
2022-03-26,3.1500000000000004
2022-03-27,3.205
2022-03-28,3.28
2022-03-29,3.29
2022-03-30,3.325
2022-03-31,3.35
2022-04-01,3.385
2022-04-02,3.585
2022-04-03,3.48
2022-04-04,3.4450000000000003
2022-04-05,3.41
2022-04-06,3.32
2022-04-07,3.315
2022-04-08,3.2800000000000002
2022-04-09,3.21
2022-04-10,3.1550000000000002
2022-04-11,3.16
2022-04-12,3.1399999999999997
2022-04-13,3.085
2022-04-14,3.01
2022-04-15,2.96
2022-04-16,2.9450000000000003
2022-04-17,2.96
2022-04-18,2.97
2022-04-19,2.9800000000000004
2022-04-20,3.0149999999999997
2022-04-21,3.0549999999999997
2022-04-22,3.0549999999999997
2022-04-23,3.0149999999999997
2022-04-24,3.02
2022-04-25,3.065
2022-04-26,3.0949999999999998
2022-04-27,3.065
2022-04-28,3.1950000000000003
2022-04-29,3.1100000000000003
2022-04-30,3.13
2022-05-01,3.12
2022-05-02,3.21
2022-05-03,3.3049999999999997
2022-05-04,3.39
2022-05-05,3.52
2022-05-06,3.63
2022-05-07,3.66
2022-05-08,3.4749999999999996
2022-05-09,3.435
2022-05-10,3.46
2022-05-11,3.465
2022-05-12,3.5149999999999997
2022-05-13,3.545
2022-05-14,3.535
2022-05-15,3.54
2022-05-16,3.57
2022-05-17,3.635
2022-05-18,3.76
2022-05-19,3.95
2022-05-20,4.0
2022-05-21,4.05
2022-05-22,4.06
2022-05-23,4.25
2022-05-24,4.275
2022-05-25,4.495
2022-05-26,4.595000000000001
2022-05-27,4.6850000000000005
2022-05-28,5.08
2022-05-29,5.395
2022-05-30,5.155
