Date,h
2024-01-01,3.025
2024-01-02,3.105
2024-01-03,3.115
2024-01-04,3.075
2024-01-05,3.015
2024-01-06,2.915
2024-01-07,2.8600000000000003
2024-01-08,2.875
2024-01-09,2.8499999999999996
2024-01-10,2.865
2024-01-11,2.855
2024-01-12,2.815
2024-01-13,2.7699999999999996
2024-01-14,2.75
2024-01-15,2.745
2024-01-16,2.7350000000000003
2024-01-17,2.705
2024-01-18,2.69
2024-01-19,2.69
2024-01-20,2.68
2024-01-21,2.675
2024-01-22,2.775
2024-01-23,2.8
2024-01-24,2.74
2024-01-25,2.68
2024-01-26,2.645
2024-01-27,2.615
2024-01-28,2.59
2024-01-29,2.6
2024-01-30,2.635
2024-01-31,2.645
2024-02-01,2.64
2024-02-02,2.6550000000000002
2024-02-03,2.66
2024-02-04,2.67
2024-02-05,2.6950000000000003
2024-02-06,2.71
2024-02-07,2.73
2024-02-08,2.775
2024-02-09,2.765
2024-02-10,2.74
2024-02-11,2.7350000000000003
2024-02-12,2.68
2024-02-13,2.665
2024-02-14,2.645
2024-02-15,2.6100000000000003
2024-02-16,2.58
2024-02-17,2.5300000000000002
2024-02-18,2.4850000000000003
2024-02-19,2.52
2024-02-20,2.5300000000000002
2024-02-21,2.5300000000000002
2024-02-22,2.545
2024-02-23,2.5300000000000002
2024-02-24,2.5149999999999997
2024-02-25,2.54
2024-02-26,2.5549999999999997
2024-02-27,2.5300000000000002
2024-02-28,2.535
2024-03-01,2.51
2024-03-02,2.46
2024-03-03,2.45
2024-03-04,2.4450000000000003
2024-03-05,2.46
2024-03-06,2.465
2024-03-07,2.475
2024-03-08,2.4699999999999998
2024-03-09,2.455
2024-03-10,2.465
2024-03-11,2.49
2024-03-12,2.525
2024-03-13,2.5700000000000003
2024-03-14,2.61
2024-03-15,2.5999999999999996
2024-03-16,2.565
2024-03-17,2.545
2024-03-18,2.545
2024-03-19,2.54
2024-03-20,2.5149999999999997
2024-03-21,2.5149999999999997
2024-03-22,2.5
2024-03-23,2.4850000000000003
2024-03-24,2.49
2024-03-25,2.51
2024-03-26,2.505
2024-03-27,2.505
2024-03-28,2.54
2024-03-29,2.565
2024-03-30,2.545
2024-03-31,2.53
2024-04-01,2.4850000000000003
2024-04-02,2.485
2024-04-03,2.54
2024-04-04,2.55
2024-04-05,2.545
2024-04-06,2.535
2024-04-07,2.5549999999999997
2024-04-08,2.575
2024-04-09,2.62
2024-04-10,2.615
2024-04-11,2.58
2024-04-12,2.5949999999999998
2024-04-13,2.575
2024-04-14,2.58
2024-04-15,2.575
2024-04-16,2.605
2024-04-17,2.63
2024-04-18,2.645
2024-04-19,2.66
2024-04-20,2.66
2024-04-21,2.645
2024-04-22,2.585
2024-04-23,2.5949999999999998
2024-04-24,2.6550000000000002
2024-04-25,2.675
2024-04-26,2.68
2024-04-27,2.675
2024-04-28,2.675
2024-04-29,2.6900000000000004
2024-04-30,2.71
2024-05-01,2.705
2024-05-02,2.7
2024-05-03,2.67
2024-05-04,2.665
2024-05-05,2.635
2024-05-06,2.645
2024-05-07,2.6550000000000002
2024-05-08,2.635
2024-05-09,2.67
2024-05-10,2.675
2024-05-11,2.685
2024-05-12,2.6900000000000004
2024-05-13,2.6950000000000003
2024-05-14,2.6799999999999997
2024-05-15,2.6550000000000002
2024-05-16,2.685
2024-05-17,2.71
2024-05-18,2.7300000000000004
2024-05-19,2.71
2024-05-20,2.755
2024-05-21,2.8449999999999998
2024-05-22,2.885
2024-05-23,2.97
2024-05-24,2.99
2024-05-25,2.975
2024-05-26,2.995
2024-05-27,3.145
2024-05-28,3.2
2024-05-29,3.17
2024-05-30,3.07
2024-05-31,3.075
2024-06-01,3.105
2024-06-02,3.1799999999999997
2024-06-03,3.2199999999999998
2024-06-04,3.2699999999999996
2024-06-05,3.295
2024-06-06,3.35
2024-06-07,3.38
2024-06-08,3.33
2024-06-09,3.315
2024-06-10,3.4450000000000003
2024-06-11,3.495
2024-06-12,3.505
2024-06-13,3.455
2024-06-14,3.415
2024-06-15,3.39
2024-06-16,3.435
2024-06-17,3.535
2024-06-18,3.5549999999999997
2024-06-19,3.585
2024-06-20,3.6
2024-06-21,3.575
2024-06-22,3.5949999999999998
2024-06-23,3.75
2024-06-24,4.01
